CA Paris Alt,As Cannes,1933-07-01,5,1
Olympique Marseille,SC Fives Lille,1933-07-01,2,1
FC Antibes,As Cannes,1933-07-01,4,1
Excelsior Roubaix,FC Sete,1933-07-01,3,3
SC Fives Lille,As Cannes,1933-07-01,1,2
Nimes Olympique,FC Sete,1933-07-01,0,2
FC Antibes,Racing Club De France,1933-07-01,1,0
Montpellier HSC,Lille OSC,1933-07-01,2,1
Excelsior Roubaix,Stade Rennes,1933-07-01,4,2
CA Paris Alt,OGC Nice,1933-07-01,6,1
Olympique Marseille,FC Sochaux,1933-07-01,4,0
FC Sochaux,CA Paris Alt,1933-07-01,2,3
As Cannes,FC Sete,1933-07-01,4,1
Montpellier HSC,Nimes Olympique,1933-07-01,2,4
Racing Club De France,Excelsior Roubaix,1933-07-01,3,3
Lille OSC,FC Antibes,1933-07-01,4,0
Stade Rennes,Olympique Marseille,1933-07-01,1,0
OGC Nice,SC Fives Lille,1933-07-01,0,0
Nimes Olympique,As Cannes,1933-07-01,4,1
SC Fives Lille,FC Sochaux,1933-07-01,3,0
Montpellier HSC,OGC Nice,1933-07-01,3,1
Excelsior Roubaix,Lille OSC,1933-07-01,2,0
Racing Club De France,Stade Rennes,1933-07-01,2,3
Nimes Olympique,CA Paris Alt,1933-07-01,5,1
OGC Nice,Olympique Marseille,1933-07-01,0,3
FC Sete,SC Fives Lille,1933-07-01,2,2
Lille OSC,Nimes Olympique,1933-07-01,3,1
Racing Club De France,Montpellier HSC,1933-07-01,3,0
FC Sochaux,Excelsior Roubaix,1933-07-01,1,2
FC Antibes,FC Sochaux,1933-07-01,3,1
CA Paris Alt,FC Sete,1933-07-01,2,3
Lille OSC,Racing Club De France,1933-07-01,0,0
Montpellier HSC,Stade Rennes,1933-07-01,1,2
Olympique Marseille,As Cannes,1933-07-01,4,0
Nimes Olympique,SC Fives Lille,1933-07-01,3,4
Excelsior Roubaix,OGC Nice,1933-07-01,3,1
As Cannes,Excelsior Roubaix,1933-07-01,1,0
SC Fives Lille,CA Paris Alt,1933-07-01,2,0
Stade Rennes,Lille OSC,1933-07-01,1,5
FC Sochaux,Montpellier HSC,1933-07-01,0,0
OGC Nice,FC Antibes,1933-07-01,1,1
FC Sete,Olympique Marseille,1933-07-01,1,0
Racing Club De France,Nimes Olympique,1933-07-01,1,1
Lille OSC,FC Sochaux,1933-07-01,2,2
Stade Rennes,FC Antibes,1933-07-01,2,2
Olympique Marseille,Racing Club De France,1933-07-01,4,1
FC Antibes,Montpellier HSC,1933-07-01,3,3
As Cannes,Racing Club De France,1933-07-01,6,2
Olympique Marseille,Excelsior Roubaix,1933-07-01,2,4
Nimes Olympique,FC Sochaux,1933-07-01,7,1
OGC Nice,Stade Rennes,1933-07-01,4,2
SC Fives Lille,Montpellier HSC,1933-07-01,2,1
Excelsior Roubaix,CA Paris Alt,1933-07-01,3,2
Lille OSC,As Cannes,1933-07-01,3,1
Stade Rennes,FC Sochaux,1933-07-01,2,2
Montpellier HSC,FC Sete,1933-07-01,4,1
Racing Club De France,OGC Nice,1933-07-01,4,3
Olympique Marseille,Nimes Olympique,1933-07-01,7,3
FC Antibes,SC Fives Lille,1933-07-01,0,7
SC Fives Lille,Excelsior Roubaix,1933-07-01,1,0
CA Paris Alt,Olympique Marseille,1933-07-01,3,1
OGC Nice,Lille OSC,1933-07-01,3,2
FC Sochaux,Racing Club De France,1933-07-01,3,2
Nimes Olympique,Stade Rennes,1933-07-01,5,3
As Cannes,Montpellier HSC,1933-07-01,3,1
FC Sete,FC Antibes,1933-07-01,4,2
FC Sete,Lille OSC,1933-07-01,1,0
FC Sete,OGC Nice,1933-07-01,4,0
CA Paris Alt,FC Antibes,1933-07-01,1,3
Lille OSC,SC Fives Lille,1933-07-01,1,1
CA Paris Alt,Stade Rennes,1933-07-01,3,6
OGC Nice,As Cannes,1933-07-01,3,1
FC Sochaux,FC Sete,1933-07-01,3,2
FC Antibes,Nimes Olympique,1933-07-01,4,2
Lille OSC,Olympique Marseille,1933-07-01,6,1
Racing Club De France,CA Paris Alt,1933-07-01,4,1
Montpellier HSC,Excelsior Roubaix,1933-07-01,2,6
Stade Rennes,SC Fives Lille,1933-07-01,1,0
Excelsior Roubaix,FC Antibes,1933-07-01,2,3
As Cannes,FC Sochaux,1933-07-01,4,0
CA Paris Alt,Lille OSC,1933-07-01,0,3
Olympique Marseille,Montpellier HSC,1933-07-01,3,1
Nimes Olympique,OGC Nice,1933-07-01,5,2
SC Fives Lille,Racing Club De France,1933-07-01,3,3
Stade Rennes,As Cannes,1933-07-01,2,2
FC Antibes,Olympique Marseille,1933-07-01,1,3
Montpellier HSC,CA Paris Alt,1933-07-01,3,2
FC Sochaux,OGC Nice,1933-07-01,3,1
Racing Club De France,FC Sete,1933-07-01,1,1
Excelsior Roubaix,Nimes Olympique,1933-07-01,1,0
As Cannes,CA Paris Alt,1933-07-01,3,1
FC Sete,Stade Rennes,1933-07-01,3,1
Racing Club De France,FC Sochaux,1933-07-01,0,2
CA Paris Alt,Nimes Olympique,1933-07-01,7,0
SC Fives Lille,Olympique Marseille,1933-07-01,2,3
FC Sochaux,Lille OSC,1933-07-01,3,5
OGC Nice,Montpellier HSC,1933-07-01,1,1
OGC Nice,CA Paris Alt,1933-07-01,5,2
Stade Rennes,Excelsior Roubaix,1933-07-01,5,2
Racing Club De France,FC Antibes,1933-07-01,5,2
FC Sochaux,Olympique Marseille,1933-07-01,4,1
As Cannes,SC Fives Lille,1933-07-01,0,0
FC Sete,Nimes Olympique,1933-07-01,8,2
Lille OSC,Montpellier HSC,1933-07-01,6,2
FC Sete,As Cannes,1933-07-01,4,0
CA Paris Alt,FC Sochaux,1933-07-01,4,6
FC Antibes,Lille OSC,1933-07-01,3,1
Excelsior Roubaix,Racing Club De France,1933-07-01,3,6
Olympique Marseille,Stade Rennes,1933-07-01,7,1
Nimes Olympique,Montpellier HSC,1933-07-01,2,0
SC Fives Lille,OGC Nice,1933-07-01,5,2
OGC Nice,FC Sete,1933-07-01,1,4
Stade Rennes,Racing Club De France,1933-07-01,2,1
Stade Rennes,CA Paris Alt,1933-07-01,8,2
As Cannes,FC Antibes,1933-07-01,1,0
CA Paris Alt,SC Fives Lille,1933-07-01,0,1
Excelsior Roubaix,SC Fives Lille,1933-07-01,1,1
SC Fives Lille,FC Sete,1933-07-01,4,2
Olympique Marseille,OGC Nice,1933-07-01,4,0
Nimes Olympique,Lille OSC,1933-07-01,3,3
FC Antibes,Stade Rennes,1933-07-01,1,1
Montpellier HSC,Racing Club De France,1933-07-01,1,0
Excelsior Roubaix,FC Sochaux,1933-07-01,2,1
FC Sete,CA Paris Alt,1933-07-01,6,2
OGC Nice,Excelsior Roubaix,1933-07-01,3,3
Racing Club De France,Lille OSC,1933-07-01,1,0
As Cannes,Olympique Marseille,1933-07-01,1,1
SC Fives Lille,Nimes Olympique,1933-07-01,5,2
Stade Rennes,Montpellier HSC,1933-07-01,2,6
FC Sochaux,FC Antibes,1933-07-01,6,4
FC Antibes,OGC Nice,1933-07-01,3,2
Montpellier HSC,FC Sochaux,1933-07-01,3,2
Olympique Marseille,FC Sete,1933-07-01,3,3
Excelsior Roubaix,As Cannes,1933-07-01,3,1
Nimes Olympique,Racing Club De France,1933-07-01,3,1
FC Sete,Excelsior Roubaix,1933-07-01,4,2
Lille OSC,Excelsior Roubaix,1933-07-01,4,2
Lille OSC,Stade Rennes,1933-07-01,5,4
As Cannes,Nimes Olympique,1933-07-01,1,1
Racing Club De France,As Cannes,1933-07-01,5,1
Lille OSC,FC Sete,1933-07-01,6,0
Montpellier HSC,SC Fives Lille,1933-07-01,4,1
FC Sochaux,Nimes Olympique,1933-07-01,6,3
Excelsior Roubaix,Olympique Marseille,1933-07-01,4,3
Stade Rennes,OGC Nice,1933-07-01,2,1
FC Antibes,CA Paris Alt,1933-07-01,3,1
CA Paris Alt,Excelsior Roubaix,1933-07-01,3,6
As Cannes,Lille OSC,1933-07-01,2,0
OGC Nice,Racing Club De France,1933-07-01,2,0
FC Sochaux,Stade Rennes,1933-07-01,6,2
SC Fives Lille,FC Antibes,1933-07-01,0,0
FC Sete,Montpellier HSC,1933-07-01,1,1
Montpellier HSC,As Cannes,1933-07-01,0,0
FC Antibes,FC Sete,1933-07-01,3,0
Olympique Marseille,CA Paris Alt,1933-07-01,3,1
Stade Rennes,Nimes Olympique,1933-07-01,6,2
Montpellier HSC,FC Antibes,1933-07-01,3,2
Lille OSC,OGC Nice,1933-07-01,3,0
CA Paris Alt,Montpellier HSC,1933-07-01,1,4
OGC Nice,FC Sochaux,1933-07-01,2,1
Nimes Olympique,Olympique Marseille,1933-07-01,0,2
As Cannes,Stade Rennes,1933-07-01,0,2
FC Sochaux,SC Fives Lille,1933-07-01,1,3
FC Sete,Racing Club De France,1933-07-01,2,1
FC Sete,FC Sochaux,1933-07-01,3,1
Nimes Olympique,FC Antibes,1933-07-01,5,0
As Cannes,OGC Nice,1933-07-01,2,2
CA Paris Alt,Racing Club De France,1933-07-01,1,4
Racing Club De France,Olympique Marseille,1933-07-01,0,1
Olympique Marseille,Lille OSC,1933-07-01,1,3
SC Fives Lille,Stade Rennes,1933-07-01,5,0
OGC Nice,Nimes Olympique,1933-07-01,1,2
Excelsior Roubaix,Montpellier HSC,1933-07-01,3,2
Lille OSC,CA Paris Alt,1933-07-01,4,1
