1 FC Nuernberg,Bayern Muenchen,1945-11-04,2,1
1 FC Schweinfurt 05,Spvgg Greuther Fuerth,1945-11-04,0,0
TSV Schwaben Augsburg,Stuttgarter Kickers,1945-11-04,2,2
Vfb Stuttgart,Karlsruher FV,1945-11-04,3,1
VFR Mannheim,Kickers Offenbach,1945-11-04,2,1
Karlsruher SC,Eintracht Frankfurt,1945-11-04,2,2
FSV Frankfurt,Waldhof Mannheim,1945-11-04,1,1
TSV 1860 Muenchen,FC Augsburg,1945-11-04,2,1
Spvgg Greuther Fuerth,TSV 1860 Muenchen,1945-11-11,0,1
FC Augsburg,Vfb Stuttgart,1945-11-11,1,5
Karlsruher FV,VFR Mannheim,1945-11-11,4,3
Stuttgarter Kickers,Karlsruher SC,1945-11-11,7,2
Eintracht Frankfurt,1 FC Nuernberg,1945-11-11,1,4
Kickers Offenbach,FSV Frankfurt,1945-11-11,4,0
Waldhof Mannheim,1 FC Schweinfurt 05,1945-11-11,3,0
Bayern Muenchen,TSV Schwaben Augsburg,1945-11-11,2,2
1 FC Schweinfurt 05,Eintracht Frankfurt,1945-11-18,2,1
FSV Frankfurt,Bayern Muenchen,1945-11-18,1,1
TSV 1860 Muenchen,Waldhof Mannheim,1945-11-18,4,1
TSV Schwaben Augsburg,Karlsruher FV,1945-11-18,3,0
1 FC Nuernberg,Kickers Offenbach,1945-11-18,5,2
VFR Mannheim,Stuttgarter Kickers,1945-11-18,2,2
Karlsruher SC,FC Augsburg,1945-11-18,2,2
Vfb Stuttgart,Spvgg Greuther Fuerth,1945-11-18,3,3
Karlsruher FV,FSV Frankfurt,1945-11-25,1,1
Spvgg Greuther Fuerth,TSV Schwaben Augsburg,1945-11-25,1,2
FC Augsburg,1 FC Schweinfurt 05,1945-11-25,1,0
Stuttgarter Kickers,1 FC Nuernberg,1945-11-25,4,4
Kickers Offenbach,TSV 1860 Muenchen,1945-11-25,2,2
Bayern Muenchen,VFR Mannheim,1945-11-25,6,1
Eintracht Frankfurt,Vfb Stuttgart,1945-11-25,2,1
Waldhof Mannheim,Karlsruher SC,1945-11-25,4,0
VFR Mannheim,Eintracht Frankfurt,1945-12-02,1,0
Vfb Stuttgart,Bayern Muenchen,1945-12-02,5,0
TSV 1860 Muenchen,Karlsruher FV,1945-12-02,13,0
