Juventus,Ssc Napoli,1929-10-06,3,2
Lazio Roma,Bologna FC,1929-10-06,3,0
As Livorno,Inter,1929-10-06,1,2
AC Milan,Brescia Calcio,1929-10-06,4,1
Calcio Padova,Modena FC,1929-10-06,1,3
Pro Patria,US Cremonese,1929-10-06,4,2
Pro Vercelli,Genoa CFc,1929-10-06,3,3
Unione Triestina,Torino FC,1929-10-06,0,1
US Alessandria 1912,As Roma,1929-10-06,3,1
As Livorno,Juventus,1929-10-13,1,5
Torino FC,Calcio Padova,1929-10-13,3,1
Bologna FC,Unione Triestina,1929-10-13,2,2
US Alessandria 1912,Pro Patria,1929-10-13,0,0
As Roma,US Cremonese,1929-10-13,9,0
AC Milan,Modena FC,1929-10-13,1,0
Ssc Napoli,Brescia Calcio,1929-10-13,1,1
Pro Vercelli,Inter,1929-10-13,1,0
Genoa CFc,Lazio Roma,1929-10-13,2,0
US Cremonese,Juventus,1929-10-20,0,0
Ssc Napoli,AC Milan,1929-10-20,2,1
Inter,Bologna FC,1929-10-20,2,1
Modena FC,Pro Vercelli,1929-10-20,1,1
Brescia Calcio,Calcio Padova,1929-10-20,3,2
Torino FC,As Livorno,1929-10-20,3,0
Pro Patria,Genoa CFc,1929-10-20,0,1
Unione Triestina,As Roma,1929-10-20,1,1
Lazio Roma,US Alessandria 1912,1929-10-20,0,0
Juventus,Pro Patria,1929-10-27,1,0
Genoa CFc,Torino FC,1929-10-27,1,0
Bologna FC,Ssc Napoli,1929-10-27,3,1
AC Milan,As Roma,1929-10-27,3,1
Lazio Roma,Inter,1929-10-27,1,1
Pro Vercelli,Brescia Calcio,1929-10-27,2,0
US Cremonese,Unione Triestina,1929-10-27,2,1
As Livorno,Modena FC,1929-10-27,2,2
Calcio Padova,US Alessandria 1912,1929-10-27,1,3
Ssc Napoli,As Livorno,1929-11-03,1,1
US Alessandria 1912,Torino FC,1929-11-03,3,3
Inter,US Cremonese,1929-11-03,3,2
Bologna FC,AC Milan,1929-11-03,1,1
Unione Triestina,Lazio Roma,1929-11-03,3,3
