AFC Ajax,NAC Breda,1956-09-02,1,0
Bvv,Usv Elinkwijk,1956-09-02,1,2
Dos Utrecht,Sparta Rotterdam,1956-09-02,2,3
Fortuna Sittard,FC Eindhoven,1956-09-02,4,1
Noad Tilburg,Afc Dws,1956-09-02,1,3
PSV Eindhoven,MVV,1956-09-02,1,3
SC Enschede Alt,Roda JC Kerkrade,1956-09-02,5,2
VVV Venlo,FC Groningen,1956-09-02,1,0
Willem II,Feyenoord,1956-09-02,3,3
Sparta Rotterdam,AFC Ajax,1956-09-09,1,2
Roda JC Kerkrade,PSV Eindhoven,1956-09-09,3,1
NAC Breda,Noad Tilburg,1956-09-09,2,2
MVV,Fortuna Sittard,1956-09-09,1,0
FC Eindhoven,VVV Venlo,1956-09-09,0,2
Feyenoord,Bvv,1956-09-09,5,1
Usv Elinkwijk,SC Enschede Alt,1956-09-09,1,5
Afc Dws,Willem II,1956-09-09,0,6
FC Groningen,Dos Utrecht,1956-09-09,3,2
PSV Eindhoven,Usv Elinkwijk,1956-09-23,0,3
VVV Venlo,MVV,1956-09-23,1,3
SC Enschede Alt,Feyenoord,1956-09-23,2,3
Noad Tilburg,Sparta Rotterdam,1956-09-23,3,0
Bvv,Willem II,1956-09-23,3,2
Fortuna Sittard,Roda JC Kerkrade,1956-09-23,5,0
Dos Utrecht,FC Eindhoven,1956-09-23,0,1
AFC Ajax,FC Groningen,1956-09-23,4,2
NAC Breda,Afc Dws,1956-09-23,3,1
Willem II,SC Enschede Alt,1956-09-30,2,2
Sparta Rotterdam,NAC Breda,1956-09-30,1,4
Roda JC Kerkrade,VVV Venlo,1956-09-30,2,0
MVV,Dos Utrecht,1956-09-30,2,5
FC Groningen,Noad Tilburg,1956-09-30,2,0
Usv Elinkwijk,Fortuna Sittard,1956-09-30,2,2
FC Eindhoven,AFC Ajax,1956-09-30,0,3
Afc Dws,Bvv,1956-09-30,3,2
Feyenoord,PSV Eindhoven,1956-09-30,2,0
SC Enschede Alt,Bvv,1956-10-07,4,1
VVV Venlo,Usv Elinkwijk,1956-10-07,2,1
Sparta Rotterdam,Afc Dws,1956-10-07,1,1
PSV Eindhoven,Willem II,1956-10-07,3,1
Dos Utrecht,Roda JC Kerkrade,1956-10-07,2,0
NAC Breda,FC Groningen,1956-10-07,2,0
AFC Ajax,MVV,1956-10-07,2,0
Noad Tilburg,FC Eindhoven,1956-10-07,2,0
Fortuna Sittard,Feyenoord,1956-10-07,3,2
Afc Dws,SC Enschede Alt,1956-10-21,0,2
Bvv,PSV Eindhoven,1956-10-21,0,3
FC Eindhoven,NAC Breda,1956-10-21,2,2
Usv Elinkwijk,Dos Utrecht,1956-10-21,1,6
FC Groningen,Sparta Rotterdam,1956-10-21,2,2
MVV,Noad Tilburg,1956-10-21,3,0
Roda JC Kerkrade,AFC Ajax,1956-10-21,4,2
Willem II,Fortuna Sittard,1956-10-21,2,3
Feyenoord,VVV Venlo,1956-10-21,3,0
Noad Tilburg,Roda JC Kerkrade,1956-10-28,3,2
Sparta Rotterdam,FC Eindhoven,1956-10-28,6,0
PSV Eindhoven,SC Enschede Alt,1956-10-28,1,5
VVV Venlo,Willem II,1956-10-28,3,1
NAC Breda,MVV,1956-10-28,2,1
Fortuna Sittard,Bvv,1956-10-28,4,1
Dos Utrecht,Feyenoord,1956-10-28,4,0
AFC Ajax,Usv Elinkwijk,1956-10-28,1,0
FC Groningen,Afc Dws,1956-10-28,1,1
Willem II,Dos Utrecht,1956-11-11,2,3
SC Enschede Alt,Fortuna Sittard,1956-11-11,4,1
Roda JC Kerkrade,NAC Breda,1956-11-11,5,1
MVV,Sparta Rotterdam,1956-11-11,3,2
Feyenoord,AFC Ajax,1956-11-11,7,3
FC Eindhoven,FC Groningen,1956-11-11,1,1
Bvv,VVV Venlo,1956-11-11,1,4
Afc Dws,PSV Eindhoven,1956-11-11,1,3
Usv Elinkwijk,Noad Tilburg,1956-11-11,2,3
NAC Breda,Usv Elinkwijk,1956-11-18,2,1
Sparta Rotterdam,Roda JC Kerkrade,1956-11-18,4,3
Noad Tilburg,Feyenoord,1956-11-18,0,0
FC Groningen,MVV,1956-11-18,0,0
Fortuna Sittard,PSV Eindhoven,1956-11-18,1,3
FC Eindhoven,Afc Dws,1956-11-18,1,1
Dos Utrecht,Bvv,1956-11-18,1,3
AFC Ajax,Willem II,1956-11-18,5,0
Usv Elinkwijk,Sparta Rotterdam,1956-11-25,1,3
Feyenoord,NAC Breda,1956-11-25,2,2
MVV,FC Eindhoven,1956-11-25,3,0
PSV Eindhoven,VVV Venlo,1956-11-25,0,1
VVV Venlo,Fortuna Sittard,1956-12-02,2,3
Sparta Rotterdam,Feyenoord,1956-12-02,0,4
Noad Tilburg,Bvv,1956-12-02,0,0
NAC Breda,Willem II,1956-12-02,2,1
FC Eindhoven,Roda JC Kerkrade,1956-12-02,0,2
FC Groningen,Usv Elinkwijk,1956-12-02,1,2
Dos Utrecht,PSV Eindhoven,1956-12-02,2,8
AFC Ajax,SC Enschede Alt,1956-12-02,1,2
MVV,Afc Dws,1956-12-02,2,0
Roda JC Kerkrade,MVV,1956-12-09,1,1
Willem II,Sparta Rotterdam,1956-12-09,0,0
SC Enschede Alt,Noad Tilburg,1956-12-09,1,1
PSV Eindhoven,AFC Ajax,1956-12-09,2,3
Usv Elinkwijk,FC Eindhoven,1956-12-09,5,2
Feyenoord,FC Groningen,1956-12-09,2,1
Bvv,NAC Breda,1956-12-09,8,0
Afc Dws,VVV Venlo,1956-12-09,4,1
Fortuna Sittard,Dos Utrecht,1956-12-09,4,1
