Academica De Coimbra,Sporting CP,1935-01-20,0,6
Academico do Porto,Uniao de Lisboa,1935-01-20,3,3
Os Belenenses,FC Porto,1935-01-20,1,1
Sl Benfica,Vitoria Setubal,1935-01-20,3,1
FC Porto,Academica De Coimbra,1935-01-27,7,1
Sporting CP,Os Belenenses,1935-01-27,1,3
Uniao de Lisboa,Sl Benfica,1935-01-27,2,2
Vitoria Setubal,Academico do Porto,1935-01-27,0,0
Uniao de Lisboa,Vitoria Setubal,1935-02-03,1,3
Sporting CP,Academico do Porto,1935-02-03,3,0
Academica De Coimbra,Os Belenenses,1935-02-03,0,5
FC Porto,Sl Benfica,1935-02-03,2,1
Academico do Porto,Academica De Coimbra,1935-02-10,3,2
Os Belenenses,Uniao de Lisboa,1935-02-10,7,3
Sl Benfica,Sporting CP,1935-02-10,1,1
Vitoria Setubal,FC Porto,1935-02-10,1,0
Uniao de Lisboa,FC Porto,1935-02-17,0,2
Sporting CP,Vitoria Setubal,1935-02-17,1,1
Academica De Coimbra,Sl Benfica,1935-02-17,2,2
Academico do Porto,Os Belenenses,1935-02-17,3,2
Academico do Porto,FC Porto,1935-02-24,0,3
Os Belenenses,Sl Benfica,1935-02-24,2,1
Sporting CP,Uniao de Lisboa,1935-02-24,5,0
Vitoria Setubal,Academica De Coimbra,1935-02-24,3,2
Academica De Coimbra,Uniao de Lisboa,1935-03-03,1,3
Os Belenenses,Vitoria Setubal,1935-03-03,3,0
Sl Benfica,Academico do Porto,1935-03-03,7,2
FC Porto,Sporting CP,1935-03-03,4,2
Vitoria Setubal,Sl Benfica,1935-03-10,2,5
FC Porto,Os Belenenses,1935-03-10,1,0
Sporting CP,Academica De Coimbra,1935-03-10,5,1
Uniao de Lisboa,Academico do Porto,1935-03-10,5,2
Sl Benfica,Uniao de Lisboa,1935-03-17,2,1
Os Belenenses,Sporting CP,1935-03-17,1,1
Academico do Porto,Vitoria Setubal,1935-03-17,3,6
Academica De Coimbra,FC Porto,1935-03-17,2,4
Academico do Porto,Sporting CP,1935-03-24,2,3
Os Belenenses,Academica De Coimbra,1935-03-24,4,0
Vitoria Setubal,Uniao de Lisboa,1935-03-24,4,1
Sl Benfica,FC Porto,1935-03-24,3,0
Sporting CP,Sl Benfica,1935-03-31,3,1
Uniao de Lisboa,Os Belenenses,1935-03-31,2,6
Academica De Coimbra,Academico do Porto,1935-03-31,2,1
Os Belenenses,Academico do Porto,1935-04-07,7,0
Sl Benfica,Academica De Coimbra,1935-04-07,4,1
FC Porto,Uniao de Lisboa,1935-04-07,7,4
Vitoria Setubal,Sporting CP,1935-04-07,0,1
FC Porto,Academico do Porto,1935-04-14,7,0
Academica De Coimbra,Vitoria Setubal,1935-04-14,0,1
Sl Benfica,Os Belenenses,1935-04-14,5,3
Uniao de Lisboa,Sporting CP,1935-04-14,4,5
FC Porto,Vitoria Setubal,1935-04-21,3,2
Academico do Porto,Sl Benfica,1935-05-12,1,4
Sporting CP,FC Porto,1935-05-12,2,2
