Arenas De Getxo,Atletico Madrid,1929-02-10,2,3
Espanyol Barcelona,Real Union,1929-02-10,3,2
Real Madrid,Ce Europa,1929-02-10,5,0
Real Sociedad,Athletic Bilbao,1929-02-10,1,1
Racing Santander,FC Barcelona,1929-02-12,0,2
FC Barcelona,Real Madrid,1929-02-17,1,2
Athletic Bilbao,Espanyol Barcelona,1929-02-17,9,0
Atletico Madrid,Real Sociedad,1929-02-17,0,3
Real Union,Racing Santander,1929-02-17,3,1
Ce Europa,Arenas De Getxo,1929-02-17,5,2
Real Madrid,Atletico Madrid,1929-02-24,2,1
Racing Santander,Athletic Bilbao,1929-02-24,0,4
Real Sociedad,FC Barcelona,1929-02-24,3,0
Espanyol Barcelona,Ce Europa,1929-02-24,3,1
Arenas De Getxo,Real Union,1929-02-24,1,1
Real Union,Atletico Madrid,1929-03-03,1,2
Real Madrid,Real Sociedad,1929-03-03,2,1
Espanyol Barcelona,Racing Santander,1929-03-03,3,0
FC Barcelona,Arenas De Getxo,1929-03-03,2,2
Athletic Bilbao,Ce Europa,1929-03-03,2,0
Arenas De Getxo,Athletic Bilbao,1929-03-10,1,0
Racing Santander,Real Madrid,1929-03-10,1,3
Real Sociedad,Espanyol Barcelona,1929-03-10,1,1
Ce Europa,Real Union,1929-03-10,3,3
Atletico Madrid,FC Barcelona,1929-03-10,4,1
Espanyol Barcelona,Real Madrid,1929-03-24,4,0
Real Union,Athletic Bilbao,1929-03-24,6,3
Arenas De Getxo,Real Sociedad,1929-03-24,3,0
Atletico Madrid,Racing Santander,1929-03-24,4,0
FC Barcelona,Ce Europa,1929-03-24,5,2
Real Madrid,Real Union,1929-03-31,2,0
Ce Europa,Atletico Madrid,1929-03-31,4,1
Athletic Bilbao,FC Barcelona,1929-03-31,5,1
Real Sociedad,Racing Santander,1929-03-31,8,1
Espanyol Barcelona,Arenas De Getxo,1929-03-31,1,2
Arenas De Getxo,Real Madrid,1929-04-07,3,2
Atletico Madrid,Athletic Bilbao,1929-04-07,2,3
FC Barcelona,Espanyol Barcelona,1929-04-07,1,0
Real Union,Real Sociedad,1929-04-07,2,3
Racing Santander,Ce Europa,1929-04-07,3,2
Espanyol Barcelona,Atletico Madrid,1929-04-21,3,2
Arenas De Getxo,Racing Santander,1929-04-21,2,1
Real Union,FC Barcelona,1929-04-21,1,2
Real Madrid,Athletic Bilbao,1929-04-21,5,1
Ce Europa,Real Sociedad,1929-04-21,4,3
Ce Europa,Real Madrid,1929-04-28,5,2
FC Barcelona,Racing Santander,1929-04-28,5,1
Atletico Madrid,Arenas De Getxo,1929-04-28,1,2
Athletic Bilbao,Real Sociedad,1929-04-28,4,2
Real Union,Espanyol Barcelona,1929-04-28,4,3
Espanyol Barcelona,Athletic Bilbao,1929-05-05,4,1
Racing Santander,Real Union,1929-05-05,1,3
Arenas De Getxo,Ce Europa,1929-05-05,2,2
Real Madrid,FC Barcelona,1929-05-09,0,1
Real Sociedad,Atletico Madrid,1929-05-09,3,3
Ce Europa,Espanyol Barcelona,1929-05-09,0,3
Athletic Bilbao,Racing Santander,1929-05-12,0,0
Real Union,Arenas De Getxo,1929-05-12,7,1
Real Sociedad,Real Madrid,1929-05-19,5,4
Atletico Madrid,Real Union,1929-05-19,3,1
FC Barcelona,Atletico Madrid,1929-05-26,4,0
Espanyol Barcelona,Real Sociedad,1929-05-26,1,1
Real Madrid,Racing Santander,1929-05-26,2,2
Athletic Bilbao,Arenas De Getxo,1929-05-26,2,3
Real Union,Ce Europa,1929-05-26,2,3
Atletico Madrid,Real Madrid,1929-05-30,0,3
FC Barcelona,Real Sociedad,1929-05-30,1,0
Racing Santander,Espanyol Barcelona,1929-05-30,1,1
Ce Europa,Athletic Bilbao,1929-05-30,1,1
Athletic Bilbao,Real Union,1929-06-02,2,1
Real Sociedad,Arenas De Getxo,1929-06-02,3,2
Racing Santander,Atletico Madrid,1929-06-02,1,2
Real Madrid,Espanyol Barcelona,1929-06-02,2,0
Ce Europa,FC Barcelona,1929-06-02,1,1
Arenas De Getxo,Espanyol Barcelona,1929-06-09,3,0
Racing Santander,Real Sociedad,1929-06-09,6,1
FC Barcelona,Athletic Bilbao,1929-06-09,3,0
Real Union,Real Madrid,1929-06-09,0,2
Atletico Madrid,Ce Europa,1929-06-09,5,4
Real Madrid,Arenas De Getxo,1929-06-16,2,0
Ce Europa,Racing Santander,1929-06-16,4,1
Real Sociedad,Real Union,1929-06-16,3,2
Espanyol Barcelona,FC Barcelona,1929-06-16,1,1
Athletic Bilbao,Atletico Madrid,1929-06-16,3,3
Real Sociedad,Ce Europa,1929-06-23,5,4
Athletic Bilbao,Real Madrid,1929-06-23,2,0
Atletico Madrid,Espanyol Barcelona,1929-06-23,7,1
Racing Santander,Arenas De Getxo,1929-06-23,5,1
FC Barcelona,Real Union,1929-06-23,4,1
Arenas De Getxo,FC Barcelona,1929-06-30,0,2
Atletico Madrid,Ce Europa,1929-12-01,5,3
Racing Santander,Espanyol Barcelona,1929-12-01,4,1
FC Barcelona,Real Sociedad,1929-12-01,3,0
Real Union,Arenas De Getxo,1929-12-01,3,2
Athletic Bilbao,Real Madrid,1929-12-01,2,1
Real Madrid,Real Union,1929-12-08,2,2
Espanyol Barcelona,Atletico Madrid,1929-12-08,1,0
Real Sociedad,Racing Santander,1929-12-08,7,0
Ce Europa,Athletic Bilbao,1929-12-08,2,2
Arenas De Getxo,FC Barcelona,1929-12-08,1,3
Atletico Madrid,Real Madrid,1929-12-15,2,1
FC Barcelona,Ce Europa,1929-12-15,2,1
Racing Santander,Arenas De Getxo,1929-12-15,2,5
Real Union,Espanyol Barcelona,1929-12-15,3,3
Athletic Bilbao,Real Sociedad,1929-12-15,2,2
Atletico Madrid,Real Union,1929-12-22,3,3
FC Barcelona,Racing Santander,1929-12-22,5,0
Arenas De Getxo,Ce Europa,1929-12-22,2,3
Real Sociedad,Real Madrid,1929-12-22,4,0
Espanyol Barcelona,Athletic Bilbao,1929-12-22,2,2
Ce Europa,Real Sociedad,1929-12-29,3,2
Arenas De Getxo,Athletic Bilbao,1929-12-29,3,3
Real Union,FC Barcelona,1929-12-29,1,3
Racing Santander,Atletico Madrid,1929-12-29,3,2
Real Madrid,Espanyol Barcelona,1929-12-29,2,4
FC Barcelona,Atletico Madrid,1930-01-05,4,2
Real Madrid,Racing Santander,1930-01-05,6,0
Real Sociedad,Arenas De Getxo,1930-01-05,4,4
Athletic Bilbao,Real Union,1930-01-05,5,2
Espanyol Barcelona,Ce Europa,1930-01-09,1,2
Real Union,Racing Santander,1930-01-12,6,3
Ce Europa,Real Madrid,1930-01-12,1,2
FC Barcelona,Athletic Bilbao,1930-01-12,1,1
Atletico Madrid,Real Sociedad,1930-01-12,1,1
Arenas De Getxo,Espanyol Barcelona,1930-01-12,2,0
Espanyol Barcelona,FC Barcelona,1930-01-19,4,0
Athletic Bilbao,Atletico Madrid,1930-01-19,6,1
Real Madrid,Arenas De Getxo,1930-01-19,5,2
Real Sociedad,Real Union,1930-01-19,2,3
Racing Santander,Ce Europa,1930-01-19,6,0
Ce Europa,Real Union,1930-01-26,0,1
FC Barcelona,Real Madrid,1930-01-26,1,4
Real Sociedad,Espanyol Barcelona,1930-01-26,1,0
Athletic Bilbao,Racing Santander,1930-01-26,4,0
Atletico Madrid,Arenas De Getxo,1930-01-26,1,3
Real Sociedad,FC Barcelona,1930-02-02,1,2
Arenas De Getxo,Real Union,1930-02-02,7,2
Real Madrid,Athletic Bilbao,1930-02-02,2,3
Ce Europa,Atletico Madrid,1930-02-02,2,0
Espanyol Barcelona,Racing Santander,1930-02-02,3,0
Real Union,Real Madrid,1930-02-09,2,2
Racing Santander,Real Sociedad,1930-02-09,2,0
FC Barcelona,Arenas De Getxo,1930-02-09,3,1
Athletic Bilbao,Ce Europa,1930-02-09,3,0
Atletico Madrid,Espanyol Barcelona,1930-02-12,2,0
Real Sociedad,Athletic Bilbao,1930-02-16,1,7
Real Madrid,Atletico Madrid,1930-02-16,4,1
Arenas De Getxo,Racing Santander,1930-02-16,5,1
Espanyol Barcelona,Real Union,1930-02-16,3,1
Ce Europa,FC Barcelona,1930-02-16,0,3
Racing Santander,FC Barcelona,1930-02-23,2,1
Athletic Bilbao,Espanyol Barcelona,1930-02-23,6,0
Real Union,Atletico Madrid,1930-02-23,8,2
Real Madrid,Real Sociedad,1930-02-23,1,1
Ce Europa,Arenas De Getxo,1930-02-23,1,2
Athletic Bilbao,Arenas De Getxo,1930-03-02,5,2
Atletico Madrid,Racing Santander,1930-03-02,3,1
Real Sociedad,Ce Europa,1930-03-02,2,0
FC Barcelona,Real Union,1930-03-05,4,2
Espanyol Barcelona,Real Madrid,1930-03-05,8,1
Arenas De Getxo,Real Sociedad,1930-03-09,3,1
Ce Europa,Espanyol Barcelona,1930-03-09,1,2
Racing Santander,Real Madrid,1930-03-09,2,0
Atletico Madrid,FC Barcelona,1930-03-09,3,2
Real Union,Athletic Bilbao,1930-03-09,1,1
Espanyol Barcelona,Arenas De Getxo,1930-03-16,1,0
Racing Santander,Real Union,1930-03-16,4,2
Real Sociedad,Atletico Madrid,1930-03-16,2,0
Athletic Bilbao,FC Barcelona,1930-03-16,4,3
Real Madrid,Ce Europa,1930-03-16,6,1
Ce Europa,Racing Santander,1930-03-22,5,0
Real Union,Real Sociedad,1930-03-23,3,2
FC Barcelona,Espanyol Barcelona,1930-03-23,5,4
Arenas De Getxo,Real Madrid,1930-03-23,5,1
Atletico Madrid,Athletic Bilbao,1930-03-23,3,4
Real Union,Ce Europa,1930-03-30,3,4
Real Madrid,FC Barcelona,1930-03-30,5,1
Racing Santander,Athletic Bilbao,1930-03-30,2,3
Arenas De Getxo,Atletico Madrid,1930-03-30,2,1
Espanyol Barcelona,Real Sociedad,1930-03-30,3,1
FC Barcelona,Athletic Bilbao,1930-12-07,6,3
Racing Santander,Ce Europa,1930-12-07,2,1
Arenas De Getxo,Real Union,1930-12-07,1,2
Real Sociedad,Cd Alaves,1930-12-07,2,2
Real Madrid,Espanyol Barcelona,1930-12-07,2,0
Ce Europa,FC Barcelona,1930-12-14,2,2
Athletic Bilbao,Real Sociedad,1930-12-14,6,1
Espanyol Barcelona,Racing Santander,1930-12-14,4,1
Cd Alaves,Arenas De Getxo,1930-12-14,3,2
Real Sociedad,FC Barcelona,1930-12-21,4,1
Cd Alaves,Espanyol Barcelona,1930-12-21,4,1
Racing Santander,Athletic Bilbao,1930-12-21,4,1
Arenas De Getxo,Real Madrid,1930-12-21,4,1
Ce Europa,Real Union,1930-12-21,2,1
Real Madrid,Ce Europa,1930-12-25,3,1
Athletic Bilbao,Cd Alaves,1930-12-28,7,1
Espanyol Barcelona,Arenas De Getxo,1930-12-28,5,0
Real Union,Real Sociedad,1930-12-28,2,4
FC Barcelona,Racing Santander,1930-12-28,1,1
Real Madrid,Cd Alaves,1931-01-04,1,0
