home_team,away_team,game_date,home_result
Toronto Huskies,New York Knicks,01 November 1946,L
St. Louis Bombers,Pittsburgh Ironmen,02 November 1946,W
Providence Steamrollers,Boston Celtics,02 November 1946,W
Chicago Stags,New York Knicks,02 November 1946,W
Detroit Falcons,Washington Capitols,02 November 1946,L
Cleveland Rebels,Toronto Huskies,03 November 1946,W
Pittsburgh Ironmen,Washington Capitols,04 November 1946,L
Boston Celtics,Chicago Stags,05 November 1946,L
Detroit Falcons,St. Louis Bombers,05 November 1946,L
Providence Steamrollers,Chicago Stags,07 November 1946,W
St. Louis Bombers,New York Knicks,07 November 1946,L
Philadelphia Warriors,Pittsburgh Ironmen,07 November 1946,W
Toronto Huskies,Detroit Falcons,08 November 1946,W
St. Louis Bombers,Washington Capitols,09 November 1946,W
Providence Steamrollers,Pittsburgh Ironmen,09 November 1946,W
Chicago Stags,Toronto Huskies,09 November 1946,W
Detroit Falcons,Boston Celtics,09 November 1946,W
Cleveland Rebels,Washington Capitols,10 November 1946,W
New York Knicks,Chicago Stags,11 November 1946,L
Pittsburgh Ironmen,Providence Steamrollers,11 November 1946,W
Chicago Stags,Boston Celtics,13 November 1946,W
Detroit Falcons,Providence Steamrollers,13 November 1946,L
St. Louis Bombers,Boston Celtics,14 November 1946,W
Philadelphia Warriors,Washington Capitols,14 November 1946,W
Toronto Huskies,Providence Steamrollers,15 November 1946,W
Chicago Stags,Washington Capitols,16 November 1946,L
Providence Steamrollers,Detroit Falcons,16 November 1946,L
Boston Celtics,Toronto Huskies,16 November 1946,W
St. Louis Bombers,Cleveland Rebels,16 November 1946,W
New York Knicks,Pittsburgh Ironmen,16 November 1946,W
Cleveland Rebels,Chicago Stags,17 November 1946,L
New York Knicks,Detroit Falcons,18 November 1946,W
Pittsburgh Ironmen,Toronto Huskies,18 November 1946,W
Toronto Huskies,Cleveland Rebels,19 November 1946,L
Philadelphia Warriors,St. Louis Bombers,19 November 1946,L
Washington Capitols,St. Louis Bombers,20 November 1946,W
Detroit Falcons,Pittsburgh Ironmen,20 November 1946,L
New York Knicks,Chicago Stags,20 November 1946,W
Boston Celtics,St. Louis Bombers,21 November 1946,L
Philadelphia Warriors,Chicago Stags,21 November 1946,L
Providence Steamrollers,Washington Capitols,21 November 1946,L
Toronto Huskies,Boston Celtics,22 November 1946,W
Detroit Falcons,Boston Celtics,23 November 1946,W
Washington Capitols,Toronto Huskies,23 November 1946,W
New York Knicks,Cleveland Rebels,23 November 1946,W
Providence Steamrollers,St. Louis Bombers,23 November 1946,L
Chicago Stags,Detroit Falcons,24 November 1946,L
Cleveland Rebels,Pittsburgh Ironmen,24 November 1946,W
Boston Celtics,Providence Steamrollers,25 November 1946,L
Pittsburgh Ironmen,New York Knicks,25 November 1946,L
Detroit Falcons,Cleveland Rebels,26 November 1946,W
Philadelphia Warriors,Boston Celtics,26 November 1946,W
Toronto Huskies,Washington Capitols,26 November 1946,L
Washington Capitols,Chicago Stags,27 November 1946,W
Pittsburgh Ironmen,Cleveland Rebels,27 November 1946,W
New York Knicks,St. Louis Bombers,27 November 1946,W
Chicago Stags,St. Louis Bombers,28 November 1946,L
Providence Steamrollers,New York Knicks,28 November 1946,L
Boston Celtics,Pittsburgh Ironmen,28 November 1946,W
Philadelphia Warriors,Detroit Falcons,28 November 1946,L
Toronto Huskies,Cleveland Rebels,29 November 1946,L
